INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,Tuberculosis,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7,0,0.0549
I00699,1,Tuberculosis,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34,*,1.1195
I00699,1,Tuberculosis,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,*,*,0.1794
I00699,1,Tuberculosis,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,8,0,0.3116
I00699,1,Tuberculosis,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,30,0,0.846
I00699,1,Tuberculosis,RJ2,LEWISHAM AND GREENWICH NHS TRUST,47,*,2.0964
I00699,1,Tuberculosis,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,100,*,5.0043
I00699,1,Tuberculosis,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,16,0,0.5054
I00699,1,Tuberculosis,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,*,0,0.2045
I00699,1,Tuberculosis,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,52,*,0.7432
I00699,1,Tuberculosis,RPA,MEDWAY NHS FOUNDATION TRUST,9,0,0.7172
I00699,1,Tuberculosis,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.0019
I00699,1,Tuberculosis,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,10,*,0.8905
I00699,1,Tuberculosis,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8,*,0.5103
I00699,1,Tuberculosis,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.212
I00699,1,Tuberculosis,RVJ,NORTH BRISTOL NHS TRUST,14,*,0.5002
I00699,1,Tuberculosis,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,0,0.2309
I00699,1,Tuberculosis,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,15,0,0.7667
I00699,1,Tuberculosis,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,*,0,0.0295
I00699,1,Tuberculosis,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,11,0,0.5366
I00699,1,Tuberculosis,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,*,0,0.2984
I00699,1,Tuberculosis,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9,*,0.7192
I00699,1,Tuberculosis,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,*,0,0.0298
I00699,1,Tuberculosis,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,30,*,1.532
I00699,1,Tuberculosis,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,24,0,0.5438
I00699,1,Tuberculosis,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,43,*,1.4972
I00699,1,Tuberculosis,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,*,0.6201
I00699,1,Tuberculosis,RHU,PORTSMOUTH HOSPITALS NHS TRUST,*,*,0.7199
I00699,1,Tuberculosis,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,9,0,0.416
I00699,1,Tuberculosis,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,0.1861
I00699,1,Tuberculosis,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,*,*,0.1817
I00699,1,Tuberculosis,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,32,*,1.9587
I00699,1,Tuberculosis,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,23,*,0.7024
I00699,1,Tuberculosis,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,0.2177
I00699,1,Tuberculosis,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,8,0,0.0756
I00699,1,Tuberculosis,RNZ,SALISBURY NHS FOUNDATION TRUST,*,*,0.2082
I00699,1,Tuberculosis,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,44,*,1.2355
I00699,1,Tuberculosis,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,41,*,1.7015
I00699,1,Tuberculosis,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,0.0203
I00699,1,Tuberculosis,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,6,*,0.5973
I00699,1,Tuberculosis,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,8,0,0.2319
I00699,1,Tuberculosis,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.1786
I00699,1,Tuberculosis,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6,0,0.5684
I00699,1,Tuberculosis,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7,0,0.426
I00699,1,Tuberculosis,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,*,0,0.1148
I00699,1,Tuberculosis,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,61,0,1.3782
I00699,1,Tuberculosis,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,*,0,0.0087
I00699,1,Tuberculosis,RWJ,STOCKPORT NHS FOUNDATION TRUST,*,0,0.1014
I00699,1,Tuberculosis,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9,*,0.6159
I00699,1,Tuberculosis,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7,0,0.2721
I00699,1,Tuberculosis,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.0049
I00699,1,Tuberculosis,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,9,0,0.6461
I00699,1,Tuberculosis,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,20,0,1.1491
I00699,1,Tuberculosis,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,21,0,0.7996
I00699,1,Tuberculosis,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,10,*,0.8487
I00699,1,Tuberculosis,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0334
I00699,1,Tuberculosis,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,0,0.0466
I00699,1,Tuberculosis,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,0,0.363
I00699,1,Tuberculosis,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,20,*,0.7748
I00699,1,Tuberculosis,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,*,0,0.1099
I00699,1,Tuberculosis,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,10,*,0.4879
I00699,1,Tuberculosis,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,33,0,0.3868
I00699,1,Tuberculosis,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,21,0,0.9573
I00699,1,Tuberculosis,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,85,*,3.2938
I00699,1,Tuberculosis,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,22,*,0.5513
I00699,1,Tuberculosis,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,44,*,1.2839
I00699,1,Tuberculosis,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,16,*,1.2346
I00699,1,Tuberculosis,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,58,*,1.6376
I00699,1,Tuberculosis,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7,0,0.682
I00699,1,Tuberculosis,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14,0,0.6557
I00699,1,Tuberculosis,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,6,*,0.5668
I00699,1,Tuberculosis,RBK,WALSALL HEALTHCARE NHS TRUST,11,0,0.2406
I00699,1,Tuberculosis,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,*,0,0.0203
I00699,1,Tuberculosis,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,15,*,0.9879
I00699,1,Tuberculosis,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,*,0,0.3859
I00699,1,Tuberculosis,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,*,0,0.1051
I00699,1,Tuberculosis,RA3,WESTON AREA HEALTH NHS TRUST,6,*,0.6216
I00699,1,Tuberculosis,RKE,WHITTINGTON HEALTH NHS TRUST,9,0,0.0829
I00699,1,Tuberculosis,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.1391
I00699,1,Tuberculosis,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,8,*,0.2894
I00699,1,Tuberculosis,RLQ,WYE VALLEY NHS TRUST,*,0,0.0193
I00699,1,Tuberculosis,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0497
I00699,1,Tuberculosis,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,7,0,0.1693
I00699,2,"Septicaemia (except in labour), Shock",REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1543,279,294.6637
I00699,2,"Septicaemia (except in labour), Shock",RCF,AIREDALE NHS FOUNDATION TRUST,649,131,142.765
I00699,2,"Septicaemia (except in labour), Shock",RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,972,210,212.2601
I00699,2,"Septicaemia (except in labour), Shock",RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2007,442,400.9168
I00699,2,"Septicaemia (except in labour), Shock",RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,804,184,168.5356
I00699,2,"Septicaemia (except in labour), Shock",R1H,BARTS HEALTH NHS TRUST,3003,480,544.0361
I00699,2,"Septicaemia (except in labour), Shock",RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1999,405,396.814
I00699,2,"Septicaemia (except in labour), Shock",RC1,BEDFORD HOSPITAL NHS TRUST,985,235,209.9304
I00699,2,"Septicaemia (except in labour), Shock",RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1684,288,326.3231
I00699,2,"Septicaemia (except in labour), Shock",RMC,BOLTON NHS FOUNDATION TRUST,1460,291,289.0105
I00699,2,"Septicaemia (except in labour), Shock",RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1442,207,243.8157
I00699,2,"Septicaemia (except in labour), Shock",RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,1404,233,272.2027
I00699,2,"Septicaemia (except in labour), Shock",RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1234,227,226.7046
I00699,2,"Septicaemia (except in labour), Shock",RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2118,435,426.1947
I00699,2,"Septicaemia (except in labour), Shock",RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1911,280,378.8733
I00699,2,"Septicaemia (except in labour), Shock",RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1304,235,255.7222
I00699,2,"Septicaemia (except in labour), Shock",RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1155,253,250.3698
I00699,2,"Septicaemia (except in labour), Shock",RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1012,240,201.8
I00699,2,"Septicaemia (except in labour), Shock",RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,941,160,176.0382
I00699,2,"Septicaemia (except in labour), Shock",RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1715,412,349.0826
I00699,2,"Septicaemia (except in labour), Shock",RJ6,CROYDON HEALTH SERVICES NHS TRUST,1364,285,259.6282
I00699,2,"Septicaemia (except in labour), Shock",RN7,DARTFORD AND GRAVESHAM NHS TRUST,1165,174,198.6632
I00699,2,"Septicaemia (except in labour), Shock",RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1477,262,288.3327
I00699,2,"Septicaemia (except in labour), Shock",RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,430,105,87.2885
I00699,2,"Septicaemia (except in labour), Shock",RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1313,318,258.1234
I00699,2,"Septicaemia (except in labour), Shock",RJN,EAST CHESHIRE NHS TRUST,584,133,123.9477
I00699,2,"Septicaemia (except in labour), Shock",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3561,903,813.7106
I00699,2,"Septicaemia (except in labour), Shock",RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2357,566,467.0933
I00699,2,"Septicaemia (except in labour), Shock",RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2598,581,557.8971
I00699,2,"Septicaemia (except in labour), Shock",RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2302,496,504.4514
I00699,2,"Septicaemia (except in labour), Shock",RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1359,258,291.4658
I00699,2,"Septicaemia (except in labour), Shock",RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2577,481,488.1662
I00699,2,"Septicaemia (except in labour), Shock",RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1154,240,236.361
I00699,2,"Septicaemia (except in labour), Shock",RLT,GEORGE ELIOT HOSPITAL NHS TRUST,582,113,125.2825
I00699,2,"Septicaemia (except in labour), Shock",RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1499,320,301.4674
I00699,2,"Septicaemia (except in labour), Shock",RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1899,394,358.5915
I00699,2,"Septicaemia (except in labour), Shock",RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,720,104,114.0624
I00699,2,"Septicaemia (except in labour), Shock",RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1431,272,295.8363
I00699,2,"Septicaemia (except in labour), Shock",RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,514,101,101.2193
I00699,2,"Septicaemia (except in labour), Shock",RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,536,56,80.2956
I00699,2,"Septicaemia (except in labour), Shock",RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1256,273,246.2867
I00699,2,"Septicaemia (except in labour), Shock",RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1516,241,274.0103
I00699,2,"Septicaemia (except in labour), Shock",R1F,ISLE OF WIGHT NHS TRUST,785,155,161.7667
I00699,2,"Septicaemia (except in labour), Shock",RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,714,158,144.1816
I00699,2,"Septicaemia (except in labour), Shock",RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,707,129,141.9068
I00699,2,"Septicaemia (except in labour), Shock",RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2038,392,379.2116
I00699,2,"Septicaemia (except in labour), Shock",RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,563,167,129.2797
I00699,2,"Septicaemia (except in labour), Shock",RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2172,464,439.3713
I00699,2,"Septicaemia (except in labour), Shock",RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1845,330,300.2295
I00699,2,"Septicaemia (except in labour), Shock",RJ2,LEWISHAM AND GREENWICH NHS TRUST,1842,364,351.6289
I00699,2,"Septicaemia (except in labour), Shock",R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1810,332,370.697
I00699,2,"Septicaemia (except in labour), Shock",RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1277,233,237.2085
I00699,2,"Septicaemia (except in labour), Shock",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1544,260,290.7973
I00699,2,"Septicaemia (except in labour), Shock",R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2140,345,377.1793
I00699,2,"Septicaemia (except in labour), Shock",RPA,MEDWAY NHS FOUNDATION TRUST,1384,304,287.8713
I00699,2,"Septicaemia (except in labour), Shock",RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1307,271,255.6787
I00699,2,"Septicaemia (except in labour), Shock",RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1621,383,367.2882
I00699,2,"Septicaemia (except in labour), Shock",RXF,MID YORKSHIRE HOSPITALS NHS TRUST,1836,391,361.2595
I00699,2,"Septicaemia (except in labour), Shock",RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1229,223,236.3262
I00699,2,"Septicaemia (except in labour), Shock",RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2303,570,509.0724
I00699,2,"Septicaemia (except in labour), Shock",RVJ,NORTH BRISTOL NHS TRUST,1531,247,301.718
I00699,2,"Septicaemia (except in labour), Shock",RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1007,225,207.1813
I00699,2,"Septicaemia (except in labour), Shock",RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,931,146,165.4358
I00699,2,"Septicaemia (except in labour), Shock",RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1624,386,325.8799
I00699,2,"Septicaemia (except in labour), Shock",RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2113,396,431.3963
I00699,2,"Septicaemia (except in labour), Shock",RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1486,337,280.1461
I00699,2,"Septicaemia (except in labour), Shock",RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,449,89,88.414
I00699,2,"Septicaemia (except in labour), Shock",RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,1242,320,278.7383
I00699,2,"Septicaemia (except in labour), Shock",RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1672,353,355.0528
I00699,2,"Septicaemia (except in labour), Shock",RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3298,667,642.5512
I00699,2,"Septicaemia (except in labour), Shock",RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1887,317,358.0861
I00699,2,"Septicaemia (except in labour), Shock",RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3022,611,566.885
I00699,2,"Septicaemia (except in labour), Shock",RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,715,114,152.3791
I00699,2,"Septicaemia (except in labour), Shock",RHU,PORTSMOUTH HOSPITALS NHS TRUST,2178,442,467.5281
I00699,2,"Septicaemia (except in labour), Shock",RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1246,222,237.4147
I00699,2,"Septicaemia (except in labour), Shock",REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1584,321,337.2271
I00699,2,"Septicaemia (except in labour), Shock",RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1043,215,204.7032
I00699,2,"Septicaemia (except in labour), Shock",RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1799,334,368.9683
I00699,2,"Septicaemia (except in labour), Shock",RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1861,448,343.476
I00699,2,"Septicaemia (except in labour), Shock",RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,882,163,182.231
I00699,2,"Septicaemia (except in labour), Shock",RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1287,220,255.5007
I00699,2,"Septicaemia (except in labour), Shock",RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1603,306,329.6808
I00699,2,"Septicaemia (except in labour), Shock",RNZ,SALISBURY NHS FOUNDATION TRUST,484,86,90.9295
I00699,2,"Septicaemia (except in labour), Shock",RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,631,137,114.842
I00699,2,"Septicaemia (except in labour), Shock",RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1813,385,377.9674
I00699,2,"Septicaemia (except in labour), Shock",RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1606,304,357.2305
I00699,2,"Septicaemia (except in labour), Shock",RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1953,385,386.3537
I00699,2,"Septicaemia (except in labour), Shock",RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1500,301,275.5256
I00699,2,"Septicaemia (except in labour), Shock",RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,582,143,127.9625
I00699,2,"Septicaemia (except in labour), Shock",RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1174,203,235.5995
I00699,2,"Septicaemia (except in labour), Shock",RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,848,196,168.9994
I00699,2,"Septicaemia (except in labour), Shock",RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,951,172,189.635
I00699,2,"Septicaemia (except in labour), Shock",RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1230,234,241.6355
I00699,2,"Septicaemia (except in labour), Shock",RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,2276,414,430.646
I00699,2,"Septicaemia (except in labour), Shock",RWJ,STOCKPORT NHS FOUNDATION TRUST,1163,250,244.5957
